ID,名称,地区,类别,上映日期
392,2015年舒淇彭于晏剧情爱情片《剩者为王》BD国语中字,中国大陆/香港,剧情/爱情,2015-11-06(中国大陆)
393,2016年美国7.4分剧情传记片《史蒂夫・乔布斯》BD中英双字,美国,剧情/传记,2015-10-23(美国)
394,2015年美国6.9分悬疑惊悚片《猩红山峰》BD中英双字重制版,美国/加拿大,剧情/悬疑/奇幻/惊悚,2015-10-16(美国)
395,2016年英国8.7悬疑犯罪片《神探夏洛克》BD中英双字重制版,英国,犯罪/剧情/悬疑,2015-10-30(美国)
396,2015年张智霖陈乔恩爱情片《十月初五的月光》BD国粤双语中字,中国大陆,剧情/爱情,2015-11-20(中国大陆)/2015-11-12(香港)
397,2015年沈腾马丽喜剧片《一念天堂》HD国语中字,中国大陆,喜剧,2015-12-31(中国大陆)
398,2016年美国6.1分动作片《最后的巫师猎人》BD中英双字重制版,美国,动作/奇幻/冒险,2016-01-15(中国大陆)/2015-10-23(美国)
399,2015年白客杨子珊喜剧冒险片《万万没想到》HD中英双字,中国大陆,喜剧/奇幻/冒险/古装,2015-12-18(中国大陆)
400,2015年萧敬腾郭采洁喜剧爱情片《一路惊喜》BD国语中字, 中国大陆, 喜剧/爱情/家庭, 2015-02-06(中国大陆)
401,2015年美国7.1分剧情犯罪片《黑色弥撒》BD中英双字,美国,剧情/传记/犯罪,2015-09-04(威尼斯电影节)/2015-09-18(美国)
402,2015年美国6.4分动作犯罪片《通灵神探/安慰》BD中英双字,美国,动作/科幻/犯罪/悬疑,2015-09-09(多伦多电影节)/2016-01-14(中国大陆)
403,2015年美国6.7分喜剧剧情片《燃情主厨/天菜大厨》BD中英双字,美国,剧情/喜剧,"分　6.7/10 from 11,645 users"
404,2015年王宝强小沈阳喜剧科幻片《不可思异》BD中英双字, 中国大陆, 剧情/喜剧/科幻, 2015-12-04(中国大陆)
405,2015年陈学东李小璐喜剧片《从天儿降》BD中英双字, 中国大陆, 喜剧, 2015-12-04(中国大陆)
406,2015年宋芸桦喜剧爱情片《我的少女时代》BD国语中字,中国台湾,喜剧/爱情,2015-11-19(中国大陆)/2015-08-15(台湾)
407,2015年张翰陈乔恩喜剧爱情片《既然青春留不住》HD中英双字,中国大陆,喜剧/爱情,2015-10-23(中国大陆)
