ID,名称,类型,地区,时长,上映时间,评分
59,怦然心动 - Flipped,"['剧情', '喜剧', '爱情']",美国,90 分钟,2010-07-26 上映,8.8
60,驯龙高手 - How to Train Your Dragon,"['喜剧', '动画', '奇幻', '冒险']",美国,98 分钟,2010-05-14 上映,8.8
61,飞屋环游记 - Up,"['剧情', '喜剧', '动画', '冒险']",美国,96 分钟,2009-08-04 上映,8.8
62,黑客帝国3：矩阵革命 - The Matrix Revolutions,"['动作', '科幻']",美国、澳大利亚,129 分钟,2003-11-05 上映,8.8
63,速度与激情5 - Fast Five,"['动作', '犯罪']",美国,130 分钟,2011-05-12 上映,8.9
64,勇敢的心 - Braveheart,"['剧情', '动作', '传记', '历史', '战争']",美国,177 分钟,1995-05-18 上映,8.9
65,三傻大闹宝莱坞 - 3 Idiots,"['剧情', '喜剧', '爱情', '歌舞']",印度,171 分钟,2011-12-08 上映,8.9
66,闻香识女人 - Scent of a Woman,['剧情'],美国,157 分钟,1992-12-23 上映,8.9
67,末代皇帝 - The Last Emperor,"['剧情', '传记', '历史']",英国、意大利、中国大陆、法国、美国,163 分钟,1987-10-23 上映,8.9
68,风之谷 - 風の谷のナウシカ,"['动画', '奇幻', '冒险']",日本,117 分钟,空,8.9
69,大话西游之月光宝盒 - A Chinese Odyssey,"['喜剧', '爱情', '奇幻', '古装']",中国香港、中国大陆,87 分钟,2014-10-24 上映,8.9
70,放牛班的春天 - Les choristes,"['剧情', '音乐']",法国、德国、瑞士,97 分钟,2004-10-16 上映,8.9
71,当幸福来敲门 - The Pursuit of Happyness,"['剧情', '家庭', '传记']",美国,117 分钟,2008-01-17 上映,8.9
72,幽灵公主 - もののけ姫,"['动画', '奇幻', '冒险']",日本,134 分钟,1998-05-01 上映,8.9
73,十二怒汉 - 12 Angry Men,['剧情'],美国,96 分钟,1957-04-13 上映,8.9
74,搏击俱乐部 - Fight Club,"['剧情', '动作', '悬疑', '惊悚']",美国、德国,139 分钟,1999-09-10 上映,8.9
75,疯狂原始人 - The Croods,"['喜剧', '动画', '冒险']",美国,98 分钟,2013-04-20 上映,8.9
76,阿凡达 - Avatar,"['动作', '科幻', '冒险']",美国、英国,162 分钟,2010-01-04 上映,8.9
77,哈尔的移动城堡 - ハウルの動く城,"['动画', '奇幻', '冒险']",日本,119 分钟,2004-09-05 上映,8.9
78,盗梦空间 - Inception,"['剧情', '科幻', '悬疑', '冒险']",美国、英国,148 分钟,2010-09-01 上映,8.9
79,忠犬八公的故事 - Hachi: A Dog's Tale,['剧情'],美国、英国,93 分钟,2009-06-13 上映,8.9
80,拯救大兵瑞恩 - Saving Private Ryan,"['剧情', '历史', '战争']",美国,169 分钟,1998-11-13 上映,8.9
81,活着 - To Live,"['剧情', '家庭', '历史']",中国大陆、中国香港,132 分钟,1994-05-17 上映,9.0
82,机器人总动员 - WALL·E,"['喜剧', '科幻', '动画']",美国,98 分钟,2008-06-27 上映,9.0
83,天堂电影院 - Nuovo Cinema Paradiso,"['剧情', '爱情']",意大利、法国,155 分钟,1988-11-17 上映,9.0
84,指环王2：双塔奇兵 - The Lord of the Rings: The Two Towers,"['剧情', '动作', '奇幻', '冒险']",美国、新西兰,179 分钟,2003-04-25 上映,9.0
85,指环王1：护戒使者 - The Lord of the Rings: The Fellowship of the Ring,"['剧情', '动作', '奇幻', '冒险']",新西兰、美国,178 分钟,2002-04-04 上映,9.0
